Value for threshold delta,"EULER mit Epsilon=0.01,EULER mit Epsilon=0.001,EULER mit Epsilon=0.00010,EULER mit Epsilon=0.000010"
0.396,"6,6,6,6"
0.397,"6,6,6,8"
0.398,"6,8,6,8"
0.399,"8,8,8,8"
0.400,"6,6,8,8"
0.401,"6,6,8,8"
0.402,"6,6,8,8"
0.403,"6,8,8,8"
0.404,"6,6,8,8"
0.405,"8,6,8,6"
0.406,"6,6,8,6"
0.407,"8,8,8,6"
0.408,"6,6,8,6"
0.409,"8,6,8,6"
0.410,"6,6,8,6"
0.411,"6,6,8,6"
0.412,"6,6,8,6"
0.413,"6,6,8,6"
0.414,"6,6,8,8"
0.415,"6,8,8,8"
0.416,"6,6,8,8"
0.417,"6,6,8,8"
0.418,"6,6,8,8"
0.419,"6,6,8,8"
0.420,"6,6,8,8"
0.421,"6,6,8,6"
0.422,"6,6,8,6"
0.423,"6,8,6,6"
0.424,"6,6,6,6"
0.425,"6,6,6,6"
0.426,"8,6,6,6"
0.427,"8,8,6,6"
0.428,"8,8,6,6"
0.429,"8,6,6,6"
0.430,"8,6,6,8"
0.431,"8,8,6,8"
0.432,"8,8,6,8"
0.433,"8,6,6,8"
0.434,"6,6,6,8"
0.435,"6,8,6,8"
0.436,"6,8,6,8"
0.437,"6,6,6,8"
0.438,"8,6,6,6"
0.439,"8,8,6,6"
0.440,"8,8,6,6"
0.441,"8,8,6,6"
0.442,"8,8,6,6"
0.443,"8,6,6,6"
0.444,"8,6,6,6"
0.445,"8,8,6,6"
0.446,"8,8,6,8"
0.447,"8,8,6,8"
0.448,"8,8,6,8"
0.449,"8,6,6,8"
0.450,"8,6,6,8"
0.451,"6,6,8,8"
0.452,"8,6,6,8"
0.453,"8,8,8,8"
0.454,"8,8,6,8"
0.455,"8,8,8,8"
0.456,"8,8,8,8"
0.457,"8,6,6,8"
0.458,"8,6,8,8"
0.459,"8,6,6,8"
0.460,"6,6,8,8"
0.461,"6,8,8,8"
0.462,"6,8,8,8"
0.463,"8,8,8,8"
0.464,"6,8,6,8"
0.465,"6,6,6,8"
0.466,"6,6,6,8"
0.467,"8,8,6,8"
0.468,"6,8,8,8"
0.469,"6,8,8,8"
0.470,"6,8,8,8"
0.471,"8,8,8,6"
0.472,"6,8,6,6"
0.473,"6,8,6,6"
0.474,"6,8,6,8"
0.475,"6,8,8,8"
0.476,"6,6,8,8"
0.477,"6,6,8,8"
0.478,"6,8,8,8"
0.479,"8,8,8,6"
0.480,"6,8,6,6"
0.481,"6,8,6,6"
0.482,"6,6,8,6"
0.483,"6,6,8,8"
0.484,"6,6,8,8"
0.485,"6,6,8,8"
0.486,"6,8,8,8"
0.487,"8,8,8,6"
0.488,"8,8,6,6"
0.489,"6,8,6,6"
0.490,"6,8,6,6"
0.491,"8,8,6,8"
0.492,"6,8,6,8"
0.493,"6,8,6,8"
0.494,"8,8,8,8"
0.495,"8,8,6,6"
0.496,"6,8,8,6"
0.497,"6,8,6,8"
0.498,"8,6,6,8"
0.499,"8,6,6,8"
0.500,"6,8,6,8"
0.501,"8,8,8,8"
0.502,"8,8,8,8"
0.503,"8,8,8,8"
0.504,"8,8,8,8"
0.505,"8,8,8,8"
0.506,"8,8,8,8"
0.507,"8,8,8,8"
0.508,"8,8,8,8"
0.509,"8,8,8,8"
0.510,"8,8,8,8"
0.511,"8,8,8,8"
0.512,"8,8,8,8"
0.513,"8,8,8,8"
0.514,"8,8,8,8"
0.515,"8,8,8,8"
0.516,"8,8,8,8"
0.517,"8,8,8,8"
0.518,"8,8,8,8"
0.519,"8,8,8,8"
0.520,"8,8,8,8"
0.521,"8,8,8,8"
0.522,"8,8,8,8"
0.523,"8,8,8,8"
0.524,"8,8,8,8"
0.525,"8,8,8,8"
0.526,"8,8,8,8"
0.527,"8,8,8,8"
0.528,"8,8,8,8"
0.529,"8,8,8,8"
0.530,"8,8,8,8"
0.531,"8,8,8,8"
0.532,"8,8,8,8"
0.533,"8,8,8,8"
0.534,"8,8,8,8"
0.535,"8,8,8,8"
0.536,"8,8,8,8"
0.537,"8,8,8,8"
0.538,"8,8,8,8"
0.539,"8,8,8,8"
0.540,"8,8,8,8"
0.541,"8,8,8,8"
0.542,"8,8,8,8"
0.543,"8,8,8,8"
0.544,"8,8,8,8"
0.545,"8,8,8,8"
0.546,"8,8,8,8"
0.547,"8,8,8,8"
0.548,"8,8,8,8"
0.549,"8,8,8,8"
0.550,"8,8,8,8"
0.551,"8,8,8,8"
0.552,"8,8,8,8"
0.553,"8,8,8,8"
0.554,"8,8,8,8"
0.555,"8,8,8,8"
0.556,"8,8,8,8"
0.557,"8,8,8,8"
0.558,"8,8,8,8"
0.559,"8,8,8,8"
0.560,"8,8,8,8"
0.561,"8,8,8,8"
0.562,"8,8,8,8"
0.563,"8,8,8,8"
0.564,"8,8,8,8"
0.565,"8,8,8,8"
0.566,"8,8,8,8"
0.567,"8,8,8,8"
0.568,"8,13,13,13"
0.569,"13,13,13,13"
0.570,"13,13,13,13"
0.571,"13,13,13,13"
0.572,"13,13,13,13"
0.573,"13,13,13,13"
0.574,"13,13,13,13"
0.575,"13,13,13,13"
0.576,"13,13,13,13"
0.577,"13,13,13,13"
0.578,"13,13,13,13"
0.579,"13,13,13,13"
0.580,"13,13,13,13"
0.581,"13,13,13,13"
0.582,"13,13,13,13"
0.583,"13,13,13,13"
0.584,"13,13,13,13"
0.585,"13,13,13,13"
0.586,"13,13,13,13"
0.587,"13,13,13,13"
0.588,"13,13,13,13"
0.589,"13,13,13,13"
0.590,"13,13,13,13"
0.591,"13,13,13,13"
0.592,"13,13,13,13"
0.593,"13,13,13,13"
0.594,"13,13,13,13"
0.595,"13,13,13,13"
0.596,"13,13,13,13"
0.597,"13,13,13,13"
0.598,"13,13,13,13"
0.599,"13,13,13,13"
0.600,"13,13,13,13"
0.601,"13,13,13,13"
0.602,"13,13,13,13"
0.603,"13,13,13,13"
0.604,"13,13,13,13"
0.605,"13,13,13,13"
0.606,"13,13,13,13"
0.607,"8,13,13,13"
0.608,"13,13,13,13"
0.609,"8,13,13,13"
0.610,"13,13,13,13"
0.611,"8,13,13,13"
0.612,"13,13,13,13"
0.613,"8,13,13,13"
0.614,"13,13,13,13"
0.615,"13,13,13,13"
0.616,"8,13,13,13"
0.617,"8,13,13,13"
0.618,"13,13,13,13"
0.619,"13,13,13,13"
0.620,"8,13,8,13"
0.621,"8,13,13,13"
0.622,"13,13,8,13"
0.623,"13,13,13,13"
0.624,"8,13,13,13"
0.625,"13,13,13,13"
0.626,"13,13,13,13"
0.627,"13,13,13,13"
0.628,"13,13,8,13"
0.629,"13,13,13,13"
0.630,"13,13,8,13"
0.631,"8,13,8,13"
0.632,"8,13,13,13"
0.633,"13,13,13,13"
0.634,"13,13,13,13"
0.635,"13,13,13,13"
0.636,"13,13,8,13"
0.637,"13,13,8,13"
0.638,"13,8,13,13"
0.639,"8,8,13,13"
0.640,"13,8,13,13"
0.641,"13,13,13,13"
0.642,"13,13,13,13"
0.643,"8,13,13,13"
0.644,"13,8,8,13"
0.645,"13,13,8,13"
0.646,"13,8,13,13"
0.647,"8,8,13,13"
0.648,"13,13,13,13"
0.649,"13,13,13,13"
0.650,"13,8,13,13"
0.651,"13,8,13,13"
0.652,"8,13,13,13"
0.653,"13,13,13,13"
0.654,"13,8,13,13"
0.655,"13,8,13,13"
0.656,"13,8,13,13"
0.657,"8,8,13,13"
0.658,"8,13,13,13"
0.659,"13,13,13,13"
0.660,"13,8,13,13"
0.661,"13,8,13,13"
0.662,"13,8,13,13"
0.663,"13,8,13,13"
0.664,"8,13,13,13"
0.665,"8,13,13,13"
0.666,"8,8,13,13"
0.667,"8,8,13,13"
0.668,"13,13,13,13"
0.669,"13,13,13,13"
0.670,"13,8,13,13"
0.671,"13,8,13,13"
0.672,"8,8,13,13"
0.673,"13,13,13,13"
0.674,"13,13,13,13"
0.675,"13,13,13,13"
0.676,"8,13,13,13"
0.677,"13,13,13,13"
0.678,"13,8,13,13"
0.679,"13,8,13,13"
0.680,"8,8,13,13"
0.681,"13,13,13,13"
0.682,"13,13,13,13"
0.683,"13,13,13,13"
0.684,"8,13,13,13"
0.685,"13,13,8,13"
0.686,"13,13,8,13"
0.687,"13,13,8,13"
0.688,"13,13,8,13"
0.689,"13,13,13,13"
0.690,"13,13,8,13"
0.691,"13,13,8,13"
0.692,"13,13,13,13"
0.693,"13,9,8,13"
0.694,"13,13,8,13"
0.695,"13,8,8,13"
0.696,"8,8,8,13"
0.697,"8,8,8,13"
0.698,"8,9,8,13"
0.699,"8,8,8,13"
0.700,"8,8,8,13"
0.701,"13,8,8,13"
0.702,"13,13,8,13"
0.703,"13,8,8,13"
0.704,"13,8,8,13"
0.705,"8,8,8,13"
0.706,"8,8,8,13"
0.707,"8,8,8,13"
0.708,"8,8,8,13"
0.709,"9,8,8,13"
0.710,"13,8,8,13"
0.711,"13,8,8,13"
0.712,"13,8,8,13"
0.713,"8,8,8,13"
0.714,"8,8,8,13"
0.715,"8,8,8,13"
0.716,"8,13,8,13"
0.717,"13,13,9,13"
0.718,"13,13,8,13"
0.719,"13,8,8,13"
0.720,"13,8,8,13"
0.721,"8,8,8,13"
0.722,"8,8,8,13"
0.723,"8,8,8,13"
0.724,"8,8,8,13"
0.725,"8,8,13,13"
0.726,"8,8,8,13"
0.727,"8,13,8,13"
0.728,"8,8,8,13"
0.729,"8,8,8,13"
0.730,"8,8,9,13"
0.731,"8,13,13,13"
0.732,"8,13,13,13"
0.733,"8,13,13,8"
0.734,"8,13,8,8"
0.735,"8,13,8,8"
0.736,"8,8,8,8"
0.737,"8,8,8,8"
0.738,"8,8,8,8"
0.739,"8,8,8,8"
0.740,"8,8,8,13"
0.741,"8,13,13,8"
0.742,"8,13,8,8"
0.743,"8,13,8,8"
0.744,"8,8,8,8"
0.745,"8,8,8,9"
0.746,"8,8,13,13"
0.747,"8,8,13,13"
0.748,"8,9,13,13"
0.749,"9,13,13,8"
0.750,"8,13,13,8"
0.751,"8,13,8,8"
0.752,"8,8,8,8"
0.753,"8,8,8,8"
0.754,"8,8,8,8"
0.755,"8,8,8,8"
0.756,"8,8,8,8"
0.757,"8,13,8,8"
0.758,"8,13,8,8"
0.759,"8,13,8,8"
0.760,"8,8,8,8"
0.761,"8,8,8,13"
0.762,"8,8,8,13"
0.763,"8,9,8,13"
0.764,"8,13,8,13"
0.765,"13,13,8,8"
0.766,"8,13,8,8"
0.767,"8,13,8,8"
0.768,"8,13,8,8"
0.769,"13,8,8,8"
0.770,"8,8,8,8"
0.771,"8,8,8,8"
0.772,"8,8,8,13"
0.773,"8,8,8,13"
0.774,"8,8,8,8"
0.775,"8,8,8,8"
0.776,"8,8,8,8"
0.777,"8,8,8,8"
0.778,"8,8,8,9"
0.779,"8,8,8,13"
0.780,"8,13,8,13"
0.781,"13,8,8,13"
0.782,"8,8,8,8"
0.783,"8,8,8,8"
0.784,"8,13,8,8"
0.785,"13,8,8,8"
0.786,"8,8,8,8"
0.787,"8,8,8,8"
0.788,"8,8,13,8"
0.789,"8,8,13,13"
0.790,"8,8,13,8"
0.791,"8,8,13,8"
0.792,"8,8,8,8"
0.793,"8,8,8,9"
0.794,"8,8,8,13"
0.795,"8,8,8,13"
0.796,"8,13,13,13"
0.797,"8,8,13,13"
0.798,"8,8,13,8"
0.799,"8,8,13,8"
0.800,"8,13,8,8"
0.801,"8,8,8,8"
0.802,"8,8,8,8"
0.803,"8,8,8,8"
0.804,"8,8,8,8"
0.805,"8,8,13,8"
0.806,"8,8,13,8"
0.807,"8,8,13,8"
0.808,"8,8,8,8"
0.809,"8,8,8,8"
0.810,"8,8,8,8"
0.811,"8,8,8,13"
0.812,"8,13,13,13"
0.813,"8,13,13,13"
0.814,"8,8,13,13"
0.815,"8,8,13,8"
0.816,"8,9,8,8"
0.817,"8,13,8,8"
0.818,"8,8,8,8"
0.819,"13,8,8,8"
0.820,"13,8,8,13"
0.821,"13,8,8,8"
0.822,"13,8,8,13"
0.823,"13,8,8,8"
0.824,"13,8,8,8"
0.825,"13,8,8,8"
0.826,"13,8,8,8"
0.827,"13,8,8,13"
0.828,"13,8,8,13"
0.829,"13,13,8,13"
0.830,"13,8,8,13"
0.831,"13,8,8,8"
0.832,"13,8,8,8"
0.833,"13,13,8,8"
0.834,"13,8,8,8"
0.835,"13,8,8,8"
0.836,"13,8,8,13"
0.837,"13,8,8,13"
0.838,"13,8,8,13"
0.839,"13,8,8,8"
0.840,"13,8,8,8"
0.841,"13,8,8,8"
0.842,"13,9,8,8"
0.843,"13,13,8,8"
0.844,"13,13,8,13"
0.845,"13,13,8,13"
0.846,"13,13,8,13"
0.847,"13,13,8,8"
0.848,"13,13,8,8"
0.849,"13,13,8,8"
0.850,"13,8,8,8"
0.851,"13,8,8,8"
0.852,"8,8,9,13"
0.853,"8,8,8,13"
0.854,"8,9,8,13"
0.855,"8,8,8,9"
0.856,"8,9,9,9"
0.857,"8,8,9,9"
0.858,"8,9,13,9"
0.859,"8,13,13,13"
0.860,"8,13,13,13"
0.861,"8,13,13,13"
0.862,"8,13,13,13"
0.863,"8,13,13,13"
0.864,"8,13,13,8"
0.865,"8,13,8,8"
0.866,"8,13,8,8"
0.867,"8,13,8,9"
0.868,"8,13,9,8"
0.869,"8,13,8,8"
0.870,"8,13,8,8"
0.871,"8,13,8,8"
0.872,"9,13,9,9"
0.873,"9,13,9,13"
0.874,"8,13,13,13"
0.875,"8,13,13,13"
0.876,"9,13,13,13"
0.877,"8,13,13,13"
0.878,"8,13,13,13"
0.879,"8,13,13,13"
0.880,"8,13,13,8"
0.881,"9,13,13,8"
0.882,"8,13,8,8"
0.883,"8,13,8,8"
0.884,"8,13,8,8"
0.885,"8,13,8,8"
0.886,"8,13,8,8"
0.887,"8,13,8,8"
0.888,"13,13,8,9"
0.889,"8,13,8,13"
0.890,"8,13,8,13"
0.891,"9,13,8,13"
0.892,"13,13,8,13"
0.893,"8,13,8,13"
0.894,"8,13,8,13"
0.895,"8,13,8,13"
0.896,"8,13,8,8"
0.897,"8,13,8,8"
0.898,"8,13,8,8"
0.899,"8,13,8,9"
0.900,"13,8,8,9"
0.901,"8,8,8,8"
0.902,"8,9,8,8"
0.903,"8,13,8,9"
0.904,"13,8,8,9"
0.905,"13,8,8,13"
0.906,"8,9,8,13"
0.907,"9,13,8,13"
0.908,"13,8,8,13"
0.909,"8,8,8,13"
0.910,"8,8,8,13"
0.911,"8,8,8,13"
0.912,"8,8,8,13"
0.913,"13,8,8,8"
0.914,"8,9,13,8"
0.915,"9,13,13,8"
0.916,"13,8,13,9"
0.917,"13,8,13,8"
0.918,"8,8,13,8"
0.919,"8,8,13,8"
0.920,"8,9,13,9"
0.921,"8,8,13,9"
0.922,"8,9,13,13"
0.923,"8,13,13,13"
0.924,"8,8,13,13"
0.925,"9,8,13,13"
0.926,"8,8,13,13"
0.927,"8,8,13,13"
0.928,"8,13,13,13"
0.929,"8,8,13,8"
0.930,"8,9,13,8"
0.931,"8,13,13,8"
0.932,"8,8,13,8"
0.933,"9,8,13,8"
0.934,"8,8,13,8"
0.935,"8,13,13,8"
0.936,"8,13,13,8"
0.937,"8,8,13,9"
0.938,"8,8,13,13"
0.939,"8,13,13,13"
0.940,"9,13,13,13"
0.941,"9,8,13,13"
0.942,"8,8,13,13"
0.943,"8,8,13,13"
0.944,"8,8,13,13"
0.945,"8,8,13,13"
0.946,"8,8,13,8"
0.947,"8,9,8,9"
0.948,"9,13,8,8"
0.949,"9,8,8,9"
0.950,"13,8,8,8"
0.951,"13,8,8,9"
0.952,"13,13,8,8"
0.953,"13,9,8,9"
0.954,"13,9,8,9"
0.955,"13,9,8,13"
0.956,"13,13,8,13"
0.957,"13,8,8,13"
0.958,"8,8,8,13"
0.959,"8,8,8,13"
0.960,"8,9,8,13"
0.961,"8,9,8,13"
0.962,"8,9,8,13"
0.963,"13,9,13,13"
0.964,"13,13,8,13"
0.965,"13,13,8,13"
0.966,"13,13,8,13"
0.967,"13,13,8,13"
0.968,"13,13,8,13"
0.969,"13,13,8,13"
0.970,"13,13,9,13"
0.971,"13,13,9,13"
0.972,"13,13,8,13"
0.973,"13,8,8,13"
0.974,"13,8,8,13"
0.975,"8,8,8,13"
0.976,"8,8,8,13"
0.977,"8,8,8,13"
0.978,"8,13,9,13"
0.979,"13,13,9,13"
0.980,"13,13,13,13"
0.981,"13,8,13,13"
0.982,"13,8,13,13"
0.983,"8,13,13,13"
0.984,"8,8,13,13"
0.985,"8,13,13,13"
0.986,"8,13,13,13"
0.987,"8,13,13,13"
0.988,"8,13,8,13"
