Value for threshold delta,"CATEGORIZER mit Epsilon=0.01,CATEGORIZER mit Epsilon=0.001,CATEGORIZER mit Epsilon=0.00010,CATEGORIZER mit Epsilon=0.000010"
0.394,"4,4,4,4"
0.395,"4,4,4,4"
0.396,"4,4,4,4"
0.397,"4,4,4,4"
0.398,"4,4,4,4"
0.399,"4,4,4,4"
0.400,"4,4,4,3"
0.401,"4,4,4,4"
0.402,"4,4,4,4"
0.403,"4,4,4,3"
0.404,"4,4,4,4"
0.405,"4,4,4,4"
0.406,"4,4,4,4"
0.407,"4,4,4,4"
0.408,"4,4,4,4"
0.409,"4,4,4,4"
0.410,"4,4,4,4"
0.411,"4,4,4,4"
0.412,"4,4,4,4"
0.413,"4,4,4,4"
0.414,"4,4,4,4"
0.415,"4,4,4,4"
0.416,"4,4,4,4"
0.417,"4,4,3,4"
0.418,"4,3,3,4"
0.419,"4,4,4,4"
0.420,"4,4,4,4"
0.421,"4,4,4,4"
0.422,"4,3,3,4"
0.423,"4,4,4,4"
0.424,"4,4,4,4"
0.425,"4,4,4,4"
0.426,"4,3,4,4"
0.427,"4,4,4,4"
0.428,"4,4,4,4"
0.429,"4,4,4,4"
0.430,"4,2,4,4"
0.431,"4,2,4,2"
0.432,"4,4,4,2"
0.433,"4,2,4,2"
0.434,"4,4,4,3"
0.435,"4,2,4,3"
0.436,"4,2,3,3"
0.437,"2,2,2,2"
0.438,"2,2,2,3"
0.439,"2,2,2,4"
0.440,"2,2,4,4"
0.441,"2,2,2,4"
0.442,"2,2,2,4"
0.443,"4,2,3,4"
0.444,"2,3,4,4"
0.445,"2,2,2,4"
0.446,"3,2,2,3"
0.447,"2,2,2,3"
0.448,"2,2,3,3"
0.449,"2,2,2,3"
0.450,"2,2,3,3"
0.451,"2,2,4,3"
0.452,"2,4,3,3"
0.453,"2,2,2,3"
0.454,"2,2,2,3"
0.455,"2,2,2,2"
0.456,"2,2,2,2"
0.457,"2,2,2,2"
0.458,"2,2,2,2"
0.459,"2,2,2,2"
0.460,"4,2,2,2"
0.461,"4,3,2,2"
0.462,"2,2,2,2"
0.463,"2,2,2,1"
0.464,"2,2,2,1"
0.465,"2,2,2,1"
0.466,"2,2,2,1"
0.467,"2,2,2,1"
0.468,"3,2,2,1"
0.469,"3,4,2,1"
0.470,"2,2,2,2"
0.471,"2,2,2,3"
0.472,"2,2,2,3"
0.473,"2,2,2,3"
0.474,"2,2,2,5"
0.475,"2,2,2,3"
0.476,"4,1,2,2"
0.477,"4,5,2,2"
0.478,"2,2,2,2"
0.479,"2,2,2,3"
0.480,"2,1,2,3"
0.481,"2,2,2,3"
0.482,"2,2,2,3"
0.483,"2,2,2,2"
0.484,"3,1,2,2"
0.485,"3,4,2,2"
0.486,"3,2,2,2"
0.487,"2,2,2,2"
0.488,"2,1,2,2"
0.489,"2,2,2,2"
0.490,"2,2,3,2"
0.491,"2,2,1,2"
0.492,"2,1,2,2"
0.493,"2,2,2,2"
0.494,"2,2,2,2"
0.495,"2,2,1,2"
0.496,"2,1,1,2"
0.497,"2,2,2,2"
0.498,"2,1,2,2"
0.499,"2,2,1,2"
0.500,"2,1,1,2"
0.501,"2,1,1,2"
0.502,"2,2,2,2"
0.503,"2,2,1,2"
0.504,"2,1,1,2"
0.505,"2,2,1,2"
0.506,"2,1,2,2"
0.507,"2,2,1,3"
0.508,"2,2,1,2"
0.509,"2,2,1,2"
0.510,"1,1,2,4"
0.511,"2,2,1,3"
0.512,"2,2,2,1"
0.513,"2,2,1,2"
0.514,"2,2,1,1"
0.515,"1,2,1,6"
0.516,"1,2,1,2"
0.517,"1,2,1,2"
0.518,"1,1,2,3"
0.519,"1,1,1,5"
0.520,"1,2,2,1"
0.521,"1,2,1,2"
0.522,"1,2,1,1"
0.523,"1,1,3,2"
0.524,"1,1,1,1"
0.525,"1,1,2,1"
0.526,"1,1,1,2"
0.527,"1,1,2,3"
0.528,"1,2,1,1"
0.529,"2,2,1,2"
0.530,"2,2,1,1"
0.531,"2,1,2,1"
0.532,"2,2,1,2"
0.533,"2,1,1,1"
0.534,"1,1,2,2"
0.535,"2,1,1,2"
0.536,"1,2,1,1"
0.537,"1,2,1,1"
0.538,"2,2,1,3"
0.539,"2,2,1,1"
0.540,"2,1,1,5"
0.541,"1,1,1,2"
0.542,"1,1,2,5"
0.543,"1,1,2,2"
0.544,"1,1,2,4"
0.545,"1,1,2,1"
0.546,"1,1,1,1"
0.547,"1,1,1,1"
0.548,"1,1,1,4"
0.549,"1,1,1,2"
0.550,"1,1,2,5"
0.551,"1,1,2,2"
0.552,"1,1,2,1"
0.553,"1,1,2,1"
0.554,"1,1,1,1"
0.555,"1,1,1,1"
0.556,"1,1,1,1"
0.557,"1,1,1,1"
0.558,"1,1,1,2"
0.559,"1,1,2,1"
0.560,"1,1,1,3"
0.561,"1,1,2,1"
0.562,"2,2,1,1"
0.563,"1,2,1,1"
0.564,"1,1,1,1"
0.565,"1,1,1,1"
0.566,"1,1,1,2"
0.567,"1,1,2,1"
0.568,"1,1,1,1"
0.569,"1,1,1,2"
0.570,"4,2,1,3"
0.571,"1,4,1,3"
0.572,"1,1,1,3"
0.573,"2,1,1,5"
0.574,"1,1,1,5"
0.575,"1,1,1,5"
0.576,"1,2,1,5"
0.577,"1,2,1,2"
0.578,"2,1,2,3"
0.579,"2,1,1,3"
0.580,"2,2,1,3"
0.581,"2,1,1,4"
0.582,"1,1,1,5"
0.583,"1,1,1,5"
0.584,"1,2,1,5"
0.585,"1,2,2,2"
0.586,"4,1,2,2"
0.587,"4,1,1,2"
0.588,"4,1,1,2"
0.589,"4,1,1,2"
0.590,"2,1,2,3"
0.591,"1,1,1,3"
0.592,"1,2,2,3"
0.593,"1,1,1,1"
0.594,"1,1,2,1"
0.595,"1,1,1,1"
0.596,"1,2,1,1"
0.597,"1,1,1,2"
0.598,"1,1,3,3"
0.599,"1,1,1,3"
0.600,"1,3,2,3"
0.601,"1,1,1,3"
0.602,"1,3,3,2"
0.603,"1,1,1,2"
0.604,"1,3,1,2"
0.605,"2,1,1,2"
0.606,"2,1,2,5"
0.607,"2,2,3,4"
0.608,"2,2,2,4"
0.609,"2,2,2,4"
0.610,"2,2,2,4"
0.611,"2,2,2,4"
0.612,"2,4,3,4"
0.613,"2,2,1,7"
0.614,"2,3,3,4"
0.615,"3,1,6,4"
0.616,"2,4,3,4"
0.617,"2,3,3,7"
0.618,"3,3,4,2"
0.619,"3,3,5,3"
0.620,"5,9,3,3"
0.621,"5,3,3,3"
0.622,"5,3,3,4"
0.623,"4,3,3,4"
0.624,"3,6,3,5"
0.625,"3,4,3,3"
0.626,"3,5,3,3"
0.627,"4,5,3,3"
0.628,"3,10,3,3"
0.629,"3,3,3,3"
0.630,"3,3,3,4"
0.631,"3,3,3,4"
0.632,"3,3,3,3"
0.633,"3,6,3,3"
0.634,"3,5,3,9"
0.635,"3,5,3,5"
0.636,"3,10,3,5"
0.637,"3,9,3,8"
0.638,"3,3,3,5"
0.639,"4,3,3,7"
0.640,"3,3,3,7"
0.641,"3,3,3,12"
0.642,"4,3,3,10"
0.643,"4,3,3,7"
0.644,"3,3,3,7"
0.645,"3,3,3,10"
0.646,"3,3,3,7"
0.647,"3,3,3,7"
0.648,"3,3,3,10"
0.649,"3,3,3,7"
0.650,"3,3,3,12"
0.651,"3,3,3,3"
0.652,"3,3,3,4"
0.653,"3,3,3,4"
0.654,"3,3,4,7"
0.655,"5,3,4,7"
0.656,"4,3,3,4"
0.657,"3,3,3,5"
0.658,"3,3,4,10"
0.659,"3,3,4,3"
0.660,"4,3,3,3"
0.661,"3,3,3,3"
0.662,"3,3,7,3"
0.663,"3,3,5,7"
0.664,"3,3,4,5"
0.665,"3,3,4,5"
0.666,"3,4,7,9"
0.667,"4,3,5,9"
0.668,"3,4,7,5"
0.669,"4,3,4,8"
0.670,"4,4,4,5"
0.671,"4,3,4,5"
0.672,"4,3,4,7"
0.673,"4,4,5,11"
0.674,"3,5,5,7"
0.675,"5,4,5,10"
0.676,"5,3,5,7"
0.677,"3,4,4,10"
0.678,"3,5,4,7"
0.679,"5,4,4,7"
0.680,"3,3,4,7"
0.681,"3,4,5,11"
0.682,"3,5,5,11"
0.683,"5,4,5,4"
0.684,"4,3,5,4"
0.685,"4,4,3,8"
0.686,"5,4,3,4"
0.687,"5,4,4,8"
0.688,"5,4,4,5"
0.689,"5,3,4,9"
0.690,"5,4,5,5"
0.691,"5,5,4,9"
0.692,"7,4,4,4"
0.693,"11,3,4,4"
0.694,"11,5,5,4"
0.695,"11,4,5,4"
0.696,"5,4,5,5"
0.697,"5,3,5,5"
0.698,"5,3,4,5"
0.699,"5,5,4,5"
0.700,"5,4,4,9"
0.701,"4,4,4,9"
0.702,"4,5,3,11"
0.703,"4,5,3,12"
0.704,"8,4,4,11"
0.705,"5,4,4,11"
0.706,"5,4,3,11"
0.707,"5,4,3,12"
0.708,"7,4,4,11"
0.709,"7,4,4,11"
0.710,"11,4,3,11"
0.711,"11,4,4,11"
0.712,"11,5,5,7"
0.713,"5,5,7,11"
0.714,"5,5,3,11"
0.715,"7,5,4,11"
0.716,"7,4,5,12"
0.717,"5,4,7,8"
0.718,"7,4,5,13"
0.719,"7,7,5,13"
0.720,"7,3,4,9"
0.721,"8,5,5,9"
0.722,"7,5,5,9"
0.723,"7,5,7,9"
0.724,"7,4,4,5"
0.725,"7,5,8,7"
0.726,"7,5,5,7"
0.727,"7,5,5,7"
0.728,"7,4,5,11"
0.729,"4,7,7,9"
0.730,"4,5,4,9"
0.731,"5,7,7,9"
0.732,"5,5,7,13"
0.733,"5,7,12,7"
0.734,"7,7,5,5"
0.735,"5,7,5,5"
0.736,"5,5,7,5"
0.737,"5,5,5,5"
0.738,"7,5,5,5"
0.739,"7,5,7,5"
0.740,"7,7,7,5"
0.741,"7,11,9,5"
0.742,"8,11,7,7"
0.743,"7,11,7,7"
0.744,"7,5,7,7"
0.745,"7,5,7,7"
0.746,"7,5,11,7"
0.747,"8,7,7,7"
0.748,"8,7,7,7"
0.749,"8,13,13,7"
0.750,"7,13,13,5"
0.751,"7,13,5,5"
0.752,"7,7,5,7"
0.753,"7,7,5,7"
0.754,"7,7,7,5"
0.755,"7,7,7,7"
0.756,"7,7,7,7"
0.757,"7,11,5,8"
0.758,"8,11,7,7"
0.759,"8,11,7,7"
0.760,"7,7,8,7"
0.761,"7,7,7,13"
0.762,"7,7,7,7"
0.763,"7,7,7,7"
0.764,"8,11,7,7"
0.765,"13,13,7,7"
0.766,"8,13,7,7"
0.767,"8,13,8,7"
0.768,"8,13,8,8"
0.769,"12,8,7,7"
0.770,"8,7,7,8"
0.771,"8,8,7,7"
0.772,"8,8,8,13"
0.773,"8,8,7,11"
0.774,"8,8,7,8"
0.775,"8,8,7,7"
0.776,"8,8,8,8"
0.777,"8,8,7,7"
0.778,"8,7,7,9"
0.779,"8,8,7,13"
0.780,"8,13,8,13"
0.781,"13,8,7,13"
0.782,"8,8,7,7"
0.783,"8,8,8,7"
0.784,"8,13,8,7"
0.785,"13,8,8,8"
0.786,"8,8,7,8"
0.787,"8,8,7,7"
0.788,"8,8,13,8"
0.789,"8,8,13,13"
0.790,"8,8,11,8"
0.791,"8,8,13,8"
0.792,"8,8,8,8"
0.793,"8,8,8,9"
0.794,"8,8,7,13"
0.795,"8,8,8,13"
0.796,"8,13,13,13"
0.797,"8,8,13,13"
0.798,"8,8,13,8"
0.799,"8,8,13,8"
0.800,"8,13,8,8"
0.801,"8,8,8,8"
0.802,"8,8,8,8"
0.803,"8,8,8,8"
0.804,"8,8,8,8"
0.805,"8,8,13,8"
0.806,"8,8,13,8"
0.807,"8,8,13,8"
0.808,"8,8,8,8"
0.809,"8,8,8,8"
0.810,"8,8,8,8"
0.811,"8,8,8,13"
0.812,"8,13,13,13"
0.813,"8,13,13,13"
0.814,"8,8,13,13"
0.815,"8,8,13,8"
0.816,"8,9,8,8"
0.817,"8,13,8,8"
0.818,"8,8,8,8"
0.819,"13,8,8,8"
0.820,"13,8,8,13"
0.821,"13,8,8,8"
0.822,"13,8,8,13"
0.823,"13,8,8,8"
0.824,"13,8,8,8"
0.825,"13,8,8,8"
0.826,"13,8,8,8"
0.827,"13,8,8,13"
0.828,"13,8,8,13"
0.829,"13,13,8,13"
0.830,"13,8,8,13"
0.831,"13,8,8,8"
0.832,"13,8,8,8"
0.833,"13,13,8,8"
0.834,"13,8,8,8"
0.835,"13,8,8,8"
0.836,"13,8,8,13"
0.837,"13,8,8,13"
0.838,"13,8,8,13"
0.839,"13,8,8,8"
0.840,"13,8,8,8"
0.841,"13,8,8,8"
0.842,"13,9,8,8"
0.843,"13,13,8,8"
0.844,"13,13,8,13"
0.845,"13,13,8,13"
0.846,"13,13,8,13"
0.847,"13,13,8,8"
0.848,"13,13,8,8"
0.849,"13,13,8,8"
0.850,"13,8,8,8"
0.851,"13,8,8,8"
0.852,"8,8,9,13"
0.853,"8,8,8,13"
0.854,"8,9,8,13"
0.855,"8,8,8,9"
0.856,"8,9,9,9"
0.857,"8,8,9,9"
0.858,"8,9,13,9"
0.859,"8,13,13,13"
0.860,"8,13,13,13"
0.861,"8,13,13,13"
0.862,"8,13,13,13"
0.863,"8,13,13,13"
0.864,"8,13,13,8"
0.865,"8,13,8,8"
0.866,"8,13,8,8"
0.867,"8,13,8,9"
0.868,"8,13,9,8"
0.869,"8,13,8,8"
0.870,"8,13,8,8"
0.871,"8,13,8,8"
0.872,"9,13,9,9"
0.873,"9,13,9,13"
0.874,"8,13,13,13"
0.875,"8,13,13,13"
0.876,"9,13,13,13"
0.877,"8,13,13,13"
0.878,"8,13,13,13"
0.879,"8,13,13,13"
0.880,"8,13,13,8"
0.881,"9,13,13,8"
0.882,"8,13,8,8"
0.883,"8,13,8,8"
0.884,"8,13,8,8"
0.885,"8,13,8,8"
0.886,"8,13,8,8"
0.887,"8,13,8,8"
0.888,"13,13,8,9"
0.889,"8,13,8,13"
0.890,"8,13,8,13"
0.891,"9,13,8,13"
0.892,"13,13,8,13"
0.893,"8,13,8,13"
0.894,"8,13,8,13"
0.895,"8,13,8,13"
0.896,"8,13,8,8"
0.897,"8,13,8,8"
0.898,"8,13,8,8"
0.899,"8,13,8,9"
0.900,"13,8,8,9"
0.901,"8,8,8,8"
0.902,"8,9,8,8"
0.903,"8,13,8,9"
0.904,"13,8,8,9"
0.905,"13,8,8,13"
0.906,"8,9,8,13"
0.907,"9,13,8,13"
0.908,"13,8,8,13"
0.909,"8,8,8,13"
0.910,"8,8,8,13"
0.911,"8,8,8,13"
0.912,"8,8,8,13"
0.913,"13,8,8,8"
0.914,"8,9,13,8"
0.915,"9,13,13,8"
0.916,"13,8,13,9"
0.917,"13,8,13,8"
0.918,"8,8,13,8"
0.919,"8,8,13,8"
0.920,"8,9,13,9"
0.921,"8,8,13,9"
0.922,"8,9,13,13"
0.923,"8,13,13,13"
0.924,"8,8,13,13"
0.925,"9,8,13,13"
0.926,"8,8,13,13"
0.927,"8,8,13,13"
0.928,"8,13,13,13"
0.929,"8,8,13,8"
0.930,"8,9,13,8"
0.931,"8,13,13,8"
0.932,"8,8,13,8"
0.933,"9,8,13,8"
0.934,"8,8,13,8"
0.935,"8,13,13,8"
0.936,"8,13,13,8"
0.937,"8,8,13,9"
0.938,"8,8,13,13"
0.939,"8,13,13,13"
0.940,"9,13,13,13"
0.941,"9,8,13,13"
0.942,"8,8,13,13"
0.943,"8,8,13,13"
0.944,"8,8,13,13"
0.945,"8,8,13,13"
0.946,"8,8,13,8"
0.947,"8,9,8,9"
0.948,"9,13,8,8"
0.949,"9,8,8,9"
0.950,"13,8,8,8"
0.951,"13,8,8,9"
0.952,"13,13,8,8"
0.953,"13,9,8,9"
0.954,"13,9,8,9"
0.955,"13,9,8,13"
0.956,"13,13,8,13"
0.957,"13,8,8,13"
0.958,"8,8,8,13"
0.959,"8,8,8,13"
0.960,"8,9,8,13"
0.961,"8,9,8,13"
0.962,"8,9,8,13"
0.963,"13,9,13,13"
0.964,"13,13,8,13"
0.965,"13,13,8,13"
0.966,"13,13,8,13"
0.967,"13,13,8,13"
0.968,"13,13,8,13"
0.969,"13,13,8,13"
0.970,"13,13,9,13"
0.971,"13,13,9,13"
0.972,"13,13,8,13"
0.973,"13,8,8,13"
0.974,"13,8,8,13"
0.975,"8,8,8,13"
0.976,"8,8,8,13"
0.977,"8,8,8,13"
0.978,"8,13,9,13"
0.979,"13,13,9,13"
0.980,"13,13,13,13"
0.981,"13,8,13,13"
0.982,"13,8,13,13"
0.983,"8,13,13,13"
0.984,"8,8,13,13"
0.985,"8,13,13,13"
